"Source:","C:\Users\chros\Documents\ECE Capstone\Hardware\BoosterPack.sch"
"Date:","10/6/2021 6:01:26 PM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","D10","ESDALC6V1-1U2","Capstone:ESDALC6V1-1U2","ESDALC6V11U2","http://www.st.com/web/en/resource/technical/document/datasheet/CD00212838.pdf","ESDALC6V1-1U2","https://www.arrow.com/en/products/esdalc6v1-1u2/stmicroelectronics?region=nac","STMicroelectronics ESDALC6V1-1U2, Uni-Directional TVS Diode, 20W, 2-Pin ST-0201","0","STMicroelectronics","ESDALC6V1-1U2","511-ESDALC6V1-1U2","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ESDALC6V1-1U2?qs=dgCJ4P5xKlbGZPjlSTLhTA%3D%3D"
"","","D11","Low-Current LED","Device:LED","","~","","","","","","","",""
"","","D12","SD0805S020S1R0","Capstone:SD0805S020S1R0","DIOM1613X100N","https://componentsearchengine.com/Datasheets/1/SD0805S020S1R0.pdf","SD0805S020S1R0","https://www.arrow.com/en/products/sd0805s020s1r0/avx?region=nac","AVX - SD0805S020S1R0 - DIODE, SCHOTTKY, 1A, 20V, SOD-323","1","AVX","SD0805S020S1R0","581-SD0805S020S1R0","https://www.mouser.co.uk/ProductDetail/AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D"
"","","IC1","LTC4372IMS8#TRPBF","Capstone:LTC4372IMS8#TRPBF","SOP65P490X110-8N","https://www.arrow.com/en/products/ltc4372ims8trpbf/analog-devices","LTC4372IMS8#TRPBF","https://www.arrow.com/en/products/ltc4372ims8trpbf/analog-devices","Power Management Specialized - PMIC Low Icc Ideal Diode Controller w/SHDN","1.1","Analog Devices","LTC4372IMS8#TRPBF","584-LTC4372IMS8TRPBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4372IMS8TRPBF?qs=T94vaHKWudTwymNST%2FXaWA%3D%3D"
"","","IC2","L4940D2T12-TR","Capstone:L4940D2T12-TR","TO254P1542X460-3N","http://www.st.com/web/en/resource/technical/document/datasheet/CD00000442.pdf","L4940D2T12-TR","https://www.arrow.com/en/products/l4940d2t12-tr/stmicroelectronics","L4940D2T12-TR, Low Dropout Voltage Regulator, 1.5A, 12 V, 3-Pin D2PAK","4.6","STMicroelectronics","L4940D2T12-TR","511-L4940D2T12-TR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L4940D2T12-TR?qs=riAxU6JNBCuKgVOJv3%252BxRA%3D%3D"
"","","IC3","MAX738ACWE+","Capstone:MAX738ACWE+","SOIC127P1032X265-16N","http://docs-emea.rs-online.com/webdocs/0f72/0900766b80f72edc.pdf","","","DC-DC Converter, Step Down 6V to 16V","2.65","Maxim Integrated","MAX738ACWE+","700-MAX738ACWE","https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX738ACWE"
"","","IC4","PJ-002A","Capstone:PJ-002A","PJ002A","https://www.cui.com/product/resource/digikeypdf/pj-002a.pdf","PJ-002A","https://www.arrow.com/en/products/pj-002a/cui-devices","CONN PWR JACK 2X5.5MM SOLDER","11","CUI Inc.","PJ-002A","490-PJ-002A","https://www.mouser.co.uk/ProductDetail/CUI-Devices/PJ-002A?qs=WyjlAZoYn51CKfAix9Mngw%3D%3D"
"","","IC5","DRV103U_2K5","Capstone:DRV103U_2K5","SOIC127P600X175-8N","http://www.ti.com/lit/gpn/DRV103","DRV103U/2K5","https://www.arrow.com/en/products/drv103u2k5/texas-instruments","PWM Low Side Driver (1.5A/3A) for Solenoids, Coils, Valves, Heaters, and Lamps","1.75","Texas Instruments","DRV103U/2K5","595-DRV103U/2K5","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV103U-2K5?qs=VBduBm9rCJTBf6AcpyRzNg%3D%3D"
"","","J1","691137710002","BoosterPack-rescue:691137710002-Capstone-BoosterPack-rescue","SHDR2W70P0X500_1X2_1000X750X1160P","https://katalog.we-online.com/em/datasheet/691137710002.pdf","","","Wurth Elektronik WR-TBL Series 5mm Pitch, 2 Way, PCB Terminal Block, Through Hole","11.6","Wurth Elektronik","691137710002","710-691137710002","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/691137710002?qs=lBTPRtX1sU9LnHBbviNKGA%3D%3D"
"","","J2","PRT-16763","Capstone:PRT-16763","RHDR40W64P254_2X20_5130X500X1625P","https://cdn.sparkfun.com/assets/0/b/8/5/2/DS-16763-2_X_20_Pin_Extended_GPIO_Header_-_Female_-_16mm_7.30mm.pdf","","","Headers & Wire Housings Extended GPIO Female Header - 2x20 Pin (16mm/7.30mm)","16.25","SparkFun","PRT-16763","474-PRT-16763","https://www.mouser.co.uk/ProductDetail/SparkFun/PRT-16763?qs=W%2FMpXkg%252BdQ5xeCq%2FGKjnlQ%3D%3D"
"","","J3","691137710002","BoosterPack-rescue:691137710002-Capstone-BoosterPack-rescue","SHDR2W70P0X500_1X2_1000X750X1160P","https://katalog.we-online.com/em/datasheet/691137710002.pdf","","","Wurth Elektronik WR-TBL Series 5mm Pitch, 2 Way, PCB Terminal Block, Through Hole","11.6","Wurth Elektronik","691137710002","710-691137710002","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/691137710002?qs=lBTPRtX1sU9LnHBbviNKGA%3D%3D"
"","","J4","53048-0810","Capstone:53048-0810","530480810","https://www.molex.com/pdm_docs/sd/530480810_sd.pdf","","","8CKT R/A WAFER ASSY ROHS COMPLIANT: YES","3.7","Molex","53048-0810","",""
"","","L1","SRN8040TA-101M","Capstone:SRN8040TA-101M","INDPM8080X450N","http://www.bourns.com/docs/Product-Datasheets/SRN8040TA.pdf","SRN8040TA-101M","https://www.arrow.com/en/products/srn8040ta-101m/bourns","fixed Inductor 100uH 1.1A non-Shielded","4.5","Bourns","SRN8040TA-101M","652-SRN8040TA-101M","https://www.mouser.co.uk/ProductDetail/Bourns/SRN8040TA-101M?qs=Vt59ZOdFuWYPicTq%2FhiccQ%3D%3D"
"","","Q1","BSC026NE2LS5ATMA1","BoosterPack-rescue:BSC026NE2LS5ATMA1-Capstone-BoosterPack-rescue","BSC026NE2LS5ATMA1","https://componentsearchengine.com/Datasheets/2/BSC026NE2LS5ATMA1.pdf","BSC026NE2LS5ATMA1","https://www.arrow.com/en/products/bsc026ne2ls5atma1/infineon-technologies-ag","Infineon BSC026NE2LS5ATMA1 N-channel MOSFET, 82 A, 25 V OptiMOS 5, 8-Pin SuperSO","1.1","Infineon","BSC026NE2LS5ATMA1","726-BSC026NE2LS5ATMA","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC026NE2LS5ATMA1?qs=3Bi3m9r5MQa2EkAa46uDjg%3D%3D"
"","","R1","111 ohms","Device:R","","~","","","","","","","",""
"","","R2","510k","Device:R","","~","","","","","","","",""
"","","R3","205 kiloohms","Device:R","","~","","","","","","","",""
"","","R4","137 kiloohms","Device:R","","~","","","","","","","",""
"","","R5","5.6 kiloohms","Device:R","","~","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","100n","Device:C","","~","","","","","","","",""
"2","1","C2","68u","Device:CP","","~","","","","","","","",""
"3","1","C3","10n","Device:C","","~","","","","","","","",""
"4","1","C4","1u","Device:CP","","~","","","","","","","",""
"5","2","C5, C6","0.1u","Device:C","","~","","","","","","","",""
"6","1","C7","22u","Device:CP","","~","","","","","","","",""
"7","1","C8","330p","Device:C","","~","","","","","","","",""
"8","1","C9","100u","Device:CP","","~","","","","","","","",""
"9","1","C10","0.1 uF","Device:C","","~","","","","","","","",""
"10","1","C11","22uF","Device:CP","","~","","","","","","","",""
"11","1","D1","1N4001G","Device:D","","~","","","","","","","",""
